"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2018,110482424,106125035,6,,
2018,110489469,106131898,3,,
2018,110482442,106131903,7,,
2018,110489476,106131911,7,,
2018,110489479,106127140,7,,
2018,110482462,106125073,7,1,
2018,110482468,106131934,7,,
2018,110489497,106127152,7,,
2018,110484477,106127152,5,,
2018,110489500,106131939,7,,
2018,110482475,106127156,7,,
2018,110482476,106127156,5,,
2018,110484490,106127160,3,,
2018,110484493,106125097,6,,
2018,110489509,106127166,7,,
2018,110484501,106125105,4,,
2018,116457272,112839175,7,,
2018,108133809,103504332,6,,
2018,108133813,103498741,6,,
2018,108137591,103504349,6,,
2018,108137628,103504372,7,,
2018,108141203,103498807,5,,
2018,108141202,103498807,7,,
2018,108137565,103498724,8,,
2018,108141158,103504329,6,,
2018,108141161,103504337,6,,
2018,108137613,103504364,6,,
2018,108133837,103504364,7,,
2018,108141182,103504367,7,,
2018,108133859,103509567,7,,
2018,108141208,103498818,7,,
2018,110472996,106123428,3,,
2018,110477868,106119222,7,,
2018,110477869,106119222,5,,
2018,110473009,106123440,7,,
2018,110473042,106123480,6,,
2018,110478069,106123561,6,,
2018,110478151,106119617,7,,
2018,110478175,106123673,7,,
2018,110473232,106123673,6,,
2018,110480339,106119695,4,,
2018,110480337,106119695,7,,
2018,110473317,106123773,7,,
2018,110473322,106123779,7,1,
2018,110473323,106123779,5,,1
2018,110480474,106123787,4,,
2018,110473344,106123800,6,,
2018,110478287,106123813,7,,
2018,110478288,106123813,4,,
2018,110473355,106119921,6,,
2018,110473363,106123826,7,,
2018,110480592,106123863,7,,
2018,110481604,106131108,7,,
2018,110474082,106124638,7,,
2018,110474083,106124638,5,,
2018,110474090,106124649,7,,
2018,110472988,106123419,6,,
2018,110473001,106123433,6,,
2018,110477870,106115364,7,,
2018,110479931,106119235,7,,
2018,110473045,106115444,6,,
2018,110480039,106115444,3,,
2018,110473077,106115494,7,,
2018,110480076,106119388,7,,
2018,110473093,106115535,7,1,
2018,110478070,106115584,7,,
2018,110478072,106115586,6,,
2018,110478073,106119484,6,,
2018,110478074,106119485,7,,
2018,110473131,106123568,5,,
2018,110478075,106123568,7,,
2018,110480158,106115591,7,,
2018,110480159,106119491,6,,
2018,110480160,106119493,7,2,
2018,110473135,106123574,7,,
